POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE
B8,2009-07-24,2009-09-02,-72.004,-39.945,1887,0.74
B8,2009-09-02,2009-10-07,-72.004,-39.945,1887,0.28
B8,2009-10-07,2009-12-11,-72.004,-39.945,1887,-0.01
B9,2009-07-24,2009-09-02,-71.997,-39.946,1687,0.63
B9,2009-09-02,2009-10-07,-71.997,-39.946,1687,0.27
B19,2009-04-26,2009-05-29,-72.03,-39.942,2022,-0.16
B9,2009-10-07,2009-12-11,-71.997,-39.946,1687,-0.35
B19,2009-09-02,2009-10-07,-72.03,-39.942,2022,0.59
B19,2009-10-07,2009-12-11,-72.03,-39.942,2022,1.74
B2,2009-09-02,2009-10-07,-72.028,-39.931,2392,0.12
B2,2009-10-07,2009-12-11,-72.028,-39.931,2392,1.03
B15,2009-07-24,2009-09-02,-72.009,-39.942,1918,1.44
B13,2009-10-07,2009-12-11,-72.019,-39.951,1917,1.02
B13,2009-09-02,2009-10-07,-72.019,-39.951,1917,0.63
B13,2009-07-24,2009-09-02,-72.019,-39.951,1917,1.42
B12,2009-10-07,2009-12-11,-72.011,-39.952,1817,-0.09
B15,2009-09-02,2009-10-07,-72.009,-39.942,1918,0.49
B12,2009-09-02,2009-10-07,-72.011,-39.952,1817,0.14
B12,2009-07-24,2009-09-02,-72.011,-39.952,1817,0.25
B12,2009-05-29,2009-07-24,-72.011,-39.952,1817,0.34
B11,2009-10-07,2009-12-11,-72.001,-39.945,1811,0.45
B14,2010-11-04,2010-12-06,-72.015,-39.947,1919,-0.07
B11,2010-02-11,2010-03-11,-72.001,-39.945,1811,-1.67
B11,2010-01-07,2010-02-11,-72.001,-39.945,1811,1.16
B11,2009-12-11,2010-01-07,-72.001,-39.945,1811,-0.94
B10,2010-12-06,2010-12-22,-72.008,-39.949,1881,0.14
B10,2010-11-04,2010-12-06,-72.008,-39.949,1881,-0.41
B10,2010-10-08,2010-11-04,-72.008,-39.949,1881,-0.02
