POINT_ID,FROM_DATE,TO_DATE,POINT_LON,POINT_LAT,POINT_ELEVATION,POINT_BALANCE,YEAR,RGIId,aspect,slope
ACO1,20101218,20110131,-70.354,-34.689,3515.0,-1.78,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO2,20101218,20110131,-70.362,-34.689,3657.0,-1.8,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO3,20101218,20110131,-70.357,-34.686,3614.0,-1.66,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO4,20101218,20110131,-70.362,-34.684,3701.0,-1.85,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO5,20110131,20110323,-70.364,-34.678,3764.0,-0.5,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN1,20110202,20110321,-70.326,-34.665,3317.0,-0.93,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN2,20110202,20110321,-70.326,-34.658,3393.0,-1.06,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN3,20110202,20110321,-70.317,-34.654,3446.0,-1.36,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN4,20110202,20110321,-70.314,-34.649,3530.0,-0.55,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACN5,20110202,20110321,-70.325,-34.644,3583.0,-0.52,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO1,20110131,20110323,-70.354,-34.689,3515.0,-1.43,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO2,20110131,20110323,-70.362,-34.689,3657.0,-1.45,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO3,20110131,20110323,-70.357,-34.686,3614.0,-1.07,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO4,20110131,20110323,-70.362,-34.684,3701.0,-1.49,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
ACO5,20110323,20110323,-70.364,-34.678,3764.0,-0.57,2011,RGI60-17.01218,1.2634832859039307,0.214375838637352
B11,20090902,20091007,-72.001,-39.945,1811.0,0.42,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B11,20090724,20090902,-72.001,-39.945,1811.0,1.17,2009,RGI60-17.12442,1.6653392314910889,0.3596237897872925
B10,20090902,20091007,-72.008,-39.949,1881.0,0.33,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20090529,20090724,-72.008,-39.949,1881.0,0.89,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B15,20091007,20091211,-72.009,-39.942,1918.0,0.67,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20090426,20090529,-72.014,-39.936,2032.0,-0.01,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20090529,20090724,-72.014,-39.936,2032.0,1.21,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20090724,20090902,-72.014,-39.936,2032.0,1.54,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20090902,20091007,-72.014,-39.936,2032.0,0.52,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B17,20091007,20091211,-72.014,-39.936,2032.0,1.21,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B10,20090426,20090529,-72.008,-39.949,1881.0,-0.32,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
B1,20091007,20091211,-72.027,-39.932,2392.0,0.68,2009,RGI60-17.12440,0.8541885614395142,0.12113004177808762
